Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality_Cluster,Q4_Monthly_Income,Q5_Favorite_Sport,Q6_Favorite_Team,Q7_Fan_Type,Q8_Own_Jerseys,Q9_Jerseys_Owned,Q10_Jersey_Type_Interest,Q11_Authentication_Importance,Q12_Preferred_Condition,Q13_Player_Popularity_Importance,Q14_Rarity_Importance,Q15_Vintage_Interest,Q16_Willingness_to_Spend,Q17_Purchase_Frequency,Q18_Discount_Influence,Q19_Recommendation_Influence,Q20_Wishlist_Behavior,Q21_Would_Use_Platform,Q22_Trust_Factors,Q23_Would_Resell,Q24_Loyalty_Interest,Q25_Feature_Ranking
1,25-34,Male,South Asian,"3,000-10,000",Cricket,Mumbai Indians,Passionate fan,No,,Signed by player,4,"Used (visible wear, but authentic)",4,1,Somewhat interested,50-200,More than 10 times a year,Somewhat influences,Maybe,"Yes, occasionally",Probably no,Third-party authentication certificates; Blockchain verification; Money-back guarantee; Seller ratings and reviews,Maybe,"Yes, strongly",Dynamic pricing transparency > AI-based recommendations > Rarity scoring system > Authentication verification
2,25-34,Male,Western Expat,"Above 50,000",Basketball,Brooklyn Nets,Hardcore collector,Yes,4-10,Signed by player,4,Condition doesn't matter if rare,2,5,Somewhat interested,Under 50,5-10 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,AI-powered authenticity checks; Third-party authentication certificates; Blockchain verification; Seller ratings and reviews,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
3,35-44,Male,South Asian,"10,001-20,000",Football,Real Madrid,Investment buyer,Yes,4-10,Vintage,3,Mint (perfect),2,5,"Yes, very interested",Under 50,More than 10 times a year,Somewhat influences,Maybe,"Yes, occasionally",Probably yes,Blockchain verification; Seller ratings and reviews; Money-back guarantee,Maybe,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
4,18-24,Female,African,"3,000-10,000",Basketball,Brooklyn Nets,Casual viewer,Yes,1-3,Regular replica,3,Mint (perfect),2,3,Not interested,50-200,Once a year or less,Strongly influences,"Yes, definitely","Yes, occasionally",Definitely no,Third-party authentication certificates; AI-powered authenticity checks; Money-back guarantee; Blockchain verification,No,"Yes, strongly",Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
5,25-34,Male,Arab,"35,001-50,000",Football,AC Milan,Investment buyer,Yes,4-10,Game-Worn,1,Good (minor wear),5,4,"Yes, very interested","501-1,500",5-10 times a year,No impact,"Yes, definitely","Yes, frequently",Definitely yes,Seller ratings and reviews; Blockchain verification; Money-back guarantee; Third-party authentication certificates; AI-powered authenticity checks,Yes,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
6,18-24,Male,Western Expat,"Above 50,000",Other,Multiple Teams,Casual viewer,Yes,4-10,Limited Edition,3,Good (minor wear),4,1,Somewhat interested,"501-1,500",2-4 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Probably yes,Third-party authentication certificates,No,Somewhat,Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
7,45-54,Male,South Asian,"3,000-10,000",Basketball,Miami Heat,Casual viewer,No,,Vintage,3,"Used (visible wear, but authentic)",4,1,Somewhat interested,"501-1,500",2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, frequently",Definitely no,Third-party authentication certificates,No,Somewhat,AI-based recommendations > Rarity scoring system > Dynamic pricing transparency > Authentication verification
8,35-44,Male,Arab,"20,001-35,000",Football,Chelsea,Casual viewer,Yes,4-10,Limited Edition,1,Good (minor wear),3,2,Not interested,50-200,2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Definitely yes,Seller ratings and reviews; Blockchain verification,Maybe,Not really,Dynamic pricing transparency > AI-based recommendations > Authentication verification > Rarity scoring system
9,25-34,Male,Arab,"10,001-20,000",Football,Barcelona,Passionate fan,Yes,4-10,Game-Worn,3,Good (minor wear),2,2,Somewhat interested,201-500,5-10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Definitely yes,Seller ratings and reviews; Money-back guarantee; Blockchain verification; Third-party authentication certificates,Maybe,"Yes, strongly",AI-based recommendations > Rarity scoring system > Dynamic pricing transparency > Authentication verification
10,35-44,Male,South Asian,"3,000-10,000",Football,Arsenal,Hardcore collector,Yes,4-10,Limited Edition,4,Mint (perfect),1,4,"Yes, very interested",201-500,5-10 times a year,Somewhat influences,Maybe,No,Definitely yes,Money-back guarantee; Seller ratings and reviews; Blockchain verification,No,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
11,18-24,Male,Western Expat,"10,001-20,000",Basketball,Golden State Warriors,Casual viewer,No,,Regular replica,1,Good (minor wear),3,1,Not interested,Under 50,2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, occasionally",Probably yes,Blockchain verification; Money-back guarantee; AI-powered authenticity checks; Third-party authentication certificates,No,Somewhat,Dynamic pricing transparency > Rarity scoring system > Authentication verification > AI-based recommendations
12,18-24,Female,African,"35,001-50,000",Other,Team India Hockey,Passionate fan,Yes,1-3,Vintage,4,Good (minor wear),3,4,Somewhat interested,50-200,5-10 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Definitely no,Third-party authentication certificates,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
